Price,Open,High,Low,Close
Ticker,281820.KS,281820.KS,281820.KS,281820.KS
Date,,,,
2023-02-08,18110.940807574727,18278.361141304347,17943.520473845107,18120.7890625
2023-02-09,17992.76174847147,18091.244297724184,17923.823963994564,18120.7890625
2023-02-10,17923.82572642544,18248.81817091557,17894.28095874452,17963.21875
2023-02-13,17913.978515625,17953.37154149773,17441.262205152212,17913.978515625
2023-02-14,17913.978841495104,18357.150390625,17884.43407155311,18357.150390625
2023-02-15,18396.54204391892,18731.382744932434,18179.88041385135,18219.2734375
2023-02-16,18278.362526968718,18475.32764040588,18209.42473726571,18258.666015625
2023-02-17,18130.638651574467,18140.486907224426,17835.190982075696,18002.611328125
2023-02-20,17884.43197377384,18120.79010558583,17677.61860843835,18071.548828125
2023-02-21,18071.548918235825,18071.548918235825,17598.832652254725,17717.01171875
2023-02-22,17234.446870610955,17579.135808023173,17234.446870610955,17529.89453125
2023-02-23,17529.894244893676,17815.49364551273,17451.108203343592,17598.83203125
2023-02-24,17677.621241465335,17677.621241465335,17342.780504858194,17579.138671875
2023-02-27,17569.28786394177,17825.34250769877,17303.384964655655,17588.984375
2023-02-28,17588.984664839798,17707.163733136593,17254.14397133221,17520.046875
2023-03-02,17520.04625159168,17559.439272955573,17283.68812340832,17401.8671875
2023-03-03,17510.200105826694,17510.200105826694,17027.635535981077,17303.38671875
2023-03-06,17185.20614214917,17510.198579221335,16889.75847208357,17263.9921875
2023-03-07,17293.53769463978,17293.53769463978,16761.73186576134,17155.662109375
2023-03-08,16909.454963631466,17135.96484375,16840.51717403017,17135.96484375
2023-03-09,17155.662109375,17332.93071900115,17047.331292381245,17155.662109375
2023-03-10,17047.331107705777,17145.813667542323,16791.276452130765,16870.0625
2023-03-13,16742.03605200946,16870.063386524824,16367.80230496454,16663.25
2023-03-14,16564.765892937725,16742.03449345668,16052.65660254964,16367.80078125
2023-03-15,16554.917833613617,16732.186436234108,16426.89050949882,16653.400390625
2023-03-16,16653.399969811184,17057.178443354802,16348.104050790398,16820.8203125
2023-03-17,17155.66132274449,18248.817698648418,17017.785743801654,17874.583984375
2023-03-20,18140.488291778976,18701.838906671157,18081.39875336927,18268.515625
2023-03-21,18613.204086970807,18613.204086970807,17717.01277907962,17795.798828125
2023-03-22,17973.06598742026,18189.72760480286,17776.100880708807,18140.486328125
2023-03-23,17825.342655334312,18613.203104188866,17825.342655334312,18485.17578125
2023-03-24,18563.961436795114,19794.99336231203,18554.113181390978,19647.26953125
2023-03-27,19696.511822174136,19794.994381285003,18967.74088475369,19341.974609375
2023-03-28,19332.12664573486,19519.243510874425,18908.65163515585,19273.037109375
2023-03-29,19302.58187755493,19607.877815414216,18879.10686697592,19273.037109375
2023-03-30,19617.724750905796,20681.336333786232,19538.938707729467,20385.888671875
2023-03-31,20385.888671875,20484.37122584541,19844.23462503774,20385.888671875
2023-04-03,20484.370967741936,20484.370967741936,19745.75182227047,19844.234375
2023-04-04,19942.718864889706,20090.442708333332,19381.36825980392,19588.181640625
2023-04-05,19942.718610833846,20238.16629395731,19470.0023178363,20041.201171875
2023-04-06,19991.95939453125,19991.95939453125,19420.760554687502,19696.51171875
2023-04-07,19794.993607088414,20287.406383384146,19745.752329458843,20188.923828125
2023-04-10,20287.408783261137,20287.408783261137,19538.941274752477,19893.478515625
2023-04-11,20090.4411407767,20336.647527305824,19745.75219963592,20287.40625
2023-04-12,20385.888550109103,20385.888550109103,19598.028123051747,19745.751953125
2023-04-13,19745.754037312374,19745.754037312374,19204.09993653822,19519.244140625
2023-04-14,19519.244436313293,19696.51305379747,19046.52812302215,19450.306640625
2023-04-17,19302.5804146665,19538.938542193027,18898.80194680868,19489.697265625
2023-04-18,19489.699473063152,19489.699473063152,18908.65234375,18908.65234375
2023-04-19,18839.7127575728,18987.4365899636,18810.167991094644,18938.1953125
2023-04-20,18849.563092105265,18898.804375,18524.570625,18711.6875
2023-04-21,18682.141108446784,18908.65099009901,18485.175993966583,18898.802734375
2023-04-24,18898.801408353833,19085.918253981097,18760.92583789164,19016.98046875
2023-04-25,19194.250875259335,19194.250875259335,18455.631677904563,18987.4375
2023-04-26,18977.5891774387,18977.5891774387,18475.328125,18475.328125
2023-04-27,18514.719661803716,18603.35395805703,18219.272007625994,18563.9609375
2023-04-28,18760.928766175293,18770.777022745464,18376.846759938635,18455.6328125
2023-05-02,18455.631304311497,18504.87258313837,18238.969677473262,18416.23828125
2023-05-03,18416.237526348366,18475.32705851847,18189.727653029644,18396.541015625
2023-05-04,18465.480007159364,18475.32826316318,18199.57709505627,18376.845703125
2023-05-08,18376.846009865785,18632.90067023905,18366.997753697582,18435.935546875
2023-05-09,18357.148864713046,18386.693632199174,17943.52211990728,18189.728515625
2023-05-10,18219.273856026786,18219.273856026786,17884.43314732143,17923.826171875
2023-05-11,17923.827068674116,18110.94394466577,17825.34450236272,17845.041015625
2023-05-12,17825.343472506833,18022.30859375,17795.798704320358,18022.30859375
2023-05-15,18022.307974938118,18022.307974938118,17244.295772741338,17904.12890625
2023-05-16,17529.89516966759,17825.342841066482,17244.295753981994,17776.1015625
2023-05-17,17776.10367114566,17973.068808776086,17549.593762870674,17933.67578125
2023-05-18,18022.30921495957,18337.45341981132,17933.674907345012,18268.515625
2023-05-19,18366.99727417738,19341.974609375,18317.755994621944,19341.974609375
2023-05-22,19391.216166931907,19391.216166931907,18997.285924840857,19145.009765625
2023-05-23,19145.00990498966,19164.70641723759,18751.079660031024,19046.52734375
2023-05-24,18967.740543720884,19184.402169869307,18760.92717330648,19026.830078125
2023-05-25,19302.582131410254,19548.788536147633,18770.776297177523,18820.017578125
2023-05-26,19066.223547717844,19263.188667012448,18879.106684387967,18987.4375
2023-05-30,19213.946246905154,19470.000886792153,19145.00845924327,19391.21484375
2023-05-31,19991.95842194642,20041.199698847766,19391.21484375,19391.21484375
2023-06-01,19479.849629975513,19686.662998140066,19007.13335988511,19607.876953125
2023-06-02,19657.118210471435,19794.993789101998,19302.581008278565,19479.849609375
2023-06-05,19479.850655727318,19647.271010200202,19282.885532818043,19430.609375
2023-06-07,19529.0917669344,19529.0917669344,18928.348147275803,19273.037109375
2023-06-08,19145.009166131105,19174.55393336279,18849.561493814268,19154.857421875
2023-06-09,19243.490677083333,19282.883697916666,18967.73953125,19204.09765625
2023-06-12,19204.098565377237,19253.33984375,18928.34740648977,19253.33984375
2023-06-13,19253.340764381654,19607.877985618346,19233.644252090726,19430.609375
2023-06-14,19548.788420486646,19548.788420486646,18859.410491300718,19174.5546875
2023-06-15,19174.55322538408,19401.063099130268,18849.560797835195,19391.21484375
2023-06-16,19538.941094147583,19538.941094147583,19253.34165275127,19351.82421875
2023-06-19,19548.787948876095,19893.476905153508,18869.258292214912,19085.919921875
2023-06-20,19204.098961375585,21173.750136901286,19007.133843823012,21075.267578125
2023-06-21,21370.714211579107,21419.955488564312,20385.888671875,20385.888671875
2023-06-22,20336.64920278696,20829.06201641376,20041.20151461088,20484.373046875
2023-06-23,20533.612636529127,20582.85391383495,19745.75219963592,20287.40625
2023-06-26,20287.4072403169,21075.267715669015,19942.71828235035,20976.78515625
2023-06-27,21173.75041457842,21616.92193488355,20829.061454341096,20878.302734375
2023-06-28,21272.231911764706,21321.473189338234,20484.371470588234,20927.54296875
2023-06-29,20878.30246057243,21419.956533841996,20779.819901796145,21075.267578125
2023-06-30,21173.74935661765,21272.231911764706,20238.16508272059,20927.54296875
2023-07-03,21321.474811725788,22060.09403153153,20976.78584248311,21863.12890625
2023-07-04,22158.575673673815,22207.816952948648,21469.197763826185,21813.88671875
2023-07-05,22404.781654544822,22798.711881437917,22060.09270601336,22109.333984375
2023-07-06,22060.094114219115,22060.094114219115,20730.579513585373,21124.509765625
2023-07-07,21124.509765625,21173.751047129954,20632.096950575466,21124.509765625
2023-07-10,20927.542854975727,20927.542854975727,20090.4411407767,20287.40625
2023-07-11,20435.131625672846,20582.85546875,19991.960096441388,20582.85546875
2023-07-12,20582.854424597255,20681.336981652745,19696.511411097854,20632.095703125
2023-07-13,20779.82071720158,21912.370187570385,20632.09687324043,21863.12890625
2023-07-14,22355.542063327815,22847.95488410596,21912.370524627484,22306.30078125
2023-07-17,22404.78110103284,23340.365366790254,22158.574715307204,23241.8828125
2023-07-18,23537.331395348836,23586.572674418603,22503.26453488372,23291.125
2023-07-19,23340.365247140522,23389.606524033225,21666.16183278867,22601.74609375
2023-07-20,22355.54192135989,22897.1960207761,21961.611667239013,22404.783203125
2023-07-21,21912.370472301136,22207.8181640625,21173.751242897728,21666.1640625
2023-07-24,21616.921373155383,21616.921373155383,20533.613240559895,21272.232421875
2023-07-25,21567.6796875,21912.368632277397,20681.336686643837,21567.6796875
2023-07-26,21567.680372006424,21715.40421017085,20484.37222546729,21075.267578125
2023-07-27,21075.267267897092,22454.023070469797,20878.302153243847,22010.8515625
2023-07-28,22306.300153459822,23537.332170758928,22306.300153459822,23438.849609375
2023-07-31,23783.5369971742,23832.778274601063,22552.50506150266,23143.400390625
2023-08-01,23094.15979110054,23537.331300951086,22158.575492527172,22650.98828125
2023-08-02,22601.74841974432,23094.16123934659,21469.198934659093,21666.1640625
2023-08-03,21616.921875,21863.128274487473,20829.061396640092,21616.921875
2023-08-04,21567.679821889335,21567.679821889335,20976.784484303327,21469.197265625
2023-08-07,21222.99212208433,21321.474684135766,20188.925220544257,20582.85546875
2023-08-08,20435.13155401992,21764.646137052543,20435.13155401992,21321.474609375
2023-08-09,21173.75083204877,22207.817733148822,21173.75083204877,21961.611328125
2023-08-10,21419.956957197868,21616.922078643365,20188.924948163505,20779.8203125
2023-08-11,20681.336981652745,20730.57826018049,20287.406753430787,20632.095703125
2023-08-14,20287.40611790459,20484.37122584541,19686.662538685083,20385.888671875
2023-08-16,20385.889717009686,20533.61355553874,19844.23564240315,20336.6484375
2023-08-17,20188.924196375297,20632.095703125,19598.028854042364,20632.095703125
2023-08-18,20139.68353386645,21075.267854510614,20041.200973798645,20878.302734375
2023-08-21,21173.750136901286,21173.750136901286,20632.096063631718,21075.267578125
2023-08-22,21370.71511627907,21469.197674418603,21026.0261627907,21173.75
2023-08-23,21321.474609375,21567.6810136403,20878.30308169746,21321.474609375
2023-08-24,21666.16251440092,21666.16251440092,21075.267173099077,21370.71484375
2023-08-25,20927.544014408904,21272.232974646227,20287.40737396816,20878.302734375
2023-08-28,20976.78438054078,20976.78438054078,20484.371601654846,20829.060546875
2023-08-29,20829.060413602943,21026.02552389706,20681.336580882355,20927.54296875
2023-08-30,21124.509625145012,21469.19859338747,21026.027062790025,21222.9921875
2023-08-31,21469.19622425629,21616.920051487414,20976.783466819223,21518.4375
2023-09-01,21370.716737689392,22946.437787472943,21272.234172077922,22749.47265625
2023-09-04,23340.365383957876,23340.365383957876,22010.85090006154,22503.263671875
2023-09-05,22404.78111751231,22798.711334963074,22060.09217724289,22503.263671875
2023-09-06,22454.024427319004,22454.024427319004,21272.233667986424,21764.646484375
2023-09-07,21370.715339781746,21863.128135629253,21272.232780612245,21715.404296875
2023-09-08,21715.404160200338,21912.369277299662,21321.473926001694,21813.88671875
2023-09-11,21863.127906976744,21863.127906976744,20878.302325581393,21173.75
2023-09-12,21173.750906322508,21321.474749854988,20829.061938080045,21222.9921875
2023-09-13,21272.23332852194,21813.8874179056,20878.30308169746,21321.474609375
2023-09-14,21518.440268004968,22306.30078125,21321.47513969371,22306.30078125
2023-09-15,22601.747275904607,22749.47111430921,22207.817040158992,22454.0234375
2023-09-18,22109.333984375,22109.333984375,21666.162479120267,22109.333984375
2023-09-19,21813.886627906977,22010.851744186046,20927.543604651164,21173.75
2023-09-20,20976.78578161253,21272.233468677496,20681.338094547566,21222.9921875
2023-09-21,20829.06187387859,20976.785716955743,20484.372906698565,20582.85546875
2023-09-22,20188.92555254684,21124.50990742096,20139.684270711357,21026.02734375
